pathspec seen revision 	pathspec seen revision 
patch mode 	patch mode 
pathspec status argv 	pathspec status argv 
argc argv 	argc argv 
prefix patch pathspec 	prefix patch pathspec 
argc argv 	argc argv 
prefix file apply 	prefix file apply 
argv child 	argv child 
rev file ignore 	rev file ignore 
error verbose 	error verbose 
show ignored 	show ignored 
refresh ignore errors 	refresh ignore errors 
intent ignore 	intent ignore 
missing addremove addremove 	missing addremove addremove 
opt arg 	opt arg 
unset builtin options 	unset builtin options 
dir flags 	dir flags 
exit status argc 	exit status argc 
argv prefix 	argv prefix 
exit status pathspec 	exit status pathspec 
dir flags 	dir flags 
files require pathspec 	files require pathspec 
seen baselen 	seen baselen 
path dtype fix 	path dtype fix 
unmerged status 	unmerged status 
die file index 	die file index 
die file 	die file 
index memset 	index memset 
init revisions setup 	init revisions setup 
revisions copy 	revisions copy 
pathspec run diff 	pathspec run diff 
files xcalloc 	files xcalloc 
dir path match 	dir path match 
pathspec matches 	pathspec matches 
index xcalloc refresh 	index xcalloc refresh 
index die 	index die 
free argv push 	free argv push 
argv push 	argv push 
argv push argv 	argv push argv 
push argv 	push argv 
push run command 	push run command 
opt argv 	opt argv 
clear parse pathspec 	clear parse pathspec 
run interactive 	run interactive 
git pathdup git 	git pathdup git 
config read 	config read 
cache die 	cache die 
init revisions setup 	init revisions setup 
revisions diff 	revisions diff 
opt open die 	opt open die 
xfdopen run 	xfdopen run 
diff files die 	diff files die 
launch editor 	launch editor 
die stat die 	die stat die 
errno die 	errno die 
run command die 	run command die 
unlink free 	unlink free 
strcmp strcmp git 	strcmp strcmp git 
config git 	config git 
config file cache 	config file cache 
die git 	die git 
config parse options 	config parse options 
exit interactive 	exit interactive 
edit patch die 	edit patch die 
die hold 	die hold 
locked index 	locked index 
read cache die 	read cache die 
parse pathspec 	parse pathspec 
memset setup standard 	memset setup standard 
excludes fill 	excludes fill 
directory prune directory 	directory prune directory 
refresh find 	refresh find 
pathspecs matching index 	pathspecs matching index 
guard pathspec 	guard pathspec 
file exists excluded 	file exists excluded 
dir ignored 	dir ignored 
die free plug 	die free plug 
bulk checkin 	bulk checkin 
files cache files 	files cache files 
unplug bulk 	unplug bulk 
checkin write locked 	checkin write locked 
index die 	index die 
git builtin command 	git builtin command 
copyright linus 	copyright linus 
torvalds request 	torvalds request 
path missing working 	path missing working 
deleted either 	deleted either 
request path exists 	request path exists 
working attempt 	working attempt 
explicitly path exist 	explicitly path exist 
working caught 	working caught 
error caller immediately 	error caller immediately 
compare unmerged 	compare unmerged 
paths stage pass 	paths stage pass 
original pathspec 	original pathspec 
parsed diff options 	parsed diff options 
unspecified told 	unspecified told 
ignore adding removals 	ignore adding removals 
takes arguments 	takes arguments 
given turn git 	given turn git 
pathspec git 	pathspec git 
pathspec check 	pathspec check 
pathspec match files 	pathspec match files 
block enabling 	block enabling 
magic git porcelain 	magic git porcelain 
excludes picks 	excludes picks 
paths tracked file 	paths tracked file 
exists assumes 	exists assumes 
exact match advice.c 	exact match advice.c 
advice push 	advice push 
update rejected advice 	update rejected advice 
push non 	push non 
current advice push 	current advice push 
non matching 	non matching 
advice push already 	advice push already 
exists advice 	exists advice 
push fetch first 	push fetch first 
advice push 	advice push 
needs force advice 	needs force advice 
status hints 	status hints 
advice status 	advice status 
option advice commit 	option advice commit 
merge advice 	merge advice 
resolve conflict advice 	resolve conflict advice 
identity advice 	identity advice 
detached head advice 	detached head advice 
upstream failure 	upstream failure 
advice name warning 	advice name warning 
advice hints 	advice hints 
name preference advice 	name preference advice 
buf name 	buf name 
fmt start strbuf 	fmt start strbuf 
vaddf end 	vaddf end 
strchrnul strbuf release 	strchrnul strbuf release 
skip prefix 	skip prefix 
size strcmp git 	size strcmp git 
config error 	config error 
advise error resolve 	advise error resolve 
conflict die 	conflict die 
error advise 	error advise 
die make backward 	die make backward 
compatibility message 	compatibility message 
used git commit 	used git commit 
fails commands 	fails commands 
merge advice.h advice 	merge advice.h advice 
push update 	push update 
rejected advice push 	rejected advice push 
non current 	non current 
advice push non 	advice push non 
matching advice 	matching advice 
push already exists 	push already exists 
advice push 	advice push 
fetch first advice 	fetch first advice 
push needs 	push needs 
force advice status 	force advice status 
hints advice 	hints advice 
status option advice 	status option advice 
commit merge 	commit merge 
advice resolve 	advice resolve 
conflict advice identity 	conflict advice identity 
advice detached 	advice detached 
head advice upstream 	head advice upstream 
failure advice 	failure advice 
name warning advice 	name warning advice 
hints advice 	hints advice 
name advice alias.c 	name advice alias.c 
key split 	key split 
cmdline errors cmdline 	cmdline errors cmdline 
argv src 	argv src 
dst size quoted 	dst size quoted 
split cmdline 	split cmdline 
errno strbuf addf 	errno strbuf addf 
git config 	git config 
key valid git 	key valid git 
config strbuf 	config strbuf 
release alloc isspace 	release alloc isspace 
isspace alloc 	isspace alloc 
grow free 	grow free 
free alloc grow 	free alloc grow 
split skip 	split skip 
alloc.c blob commit 	alloc.c blob commit 
tag count 	tag count 
node size ret 	node size ret 
blob state 	blob state 
state tag state 	state tag state 
state obj 	state obj 
commit state count 	commit state count 
name count 	name count 
size xmalloc memset 	size xmalloc memset 
alloc node 	alloc node 
alloc node alloc 	alloc node alloc 
node alloc 	node alloc 
node alloc node 	node alloc node 
alloc commit 	alloc commit 
index report 	index report 
report report report 	report report report 
report alloc 	report alloc 
specialized allocator objects 	specialized allocator objects 
copyright linus 	copyright linus 
torvalds standard malloc 	torvalds standard malloc 
free wastes 	free wastes 
much space objects 	much space objects 
partly maintains 	partly maintains 
allocation infrastructure isn 	allocation infrastructure isn 
needed since 	needed since 
never free descriptor 	never free descriptor 
anyway even 	anyway even 
ends maximal alignment 	ends maximal alignment 
doesn know 	doesn know 
alignment allocation total 	alignment allocation total 
number nodes 	number nodes 
allocated number nodes 	allocated number nodes 
left current 	left current 
allocation first 	allocation first 
free node current 	free node current 
allocation alloca.h 	allocation alloca.h 
am.c filename msg 	am.c filename msg 
str dir 	str dir 
cur last author 	cur last author 
name author 	name author 
email author date 	email author date 
msg msg 	msg msg 
len orig commit 	len orig commit 
prec interactive 	prec interactive 
threeway quiet signoff 	threeway quiet signoff 
utf keep 	utf keep 
message scissors git 	message scissors git 
apply opts 	apply opts 
resolvemsg committer date 	resolvemsg committer date 
author date 	author date 
ignore date allow 	ignore date allow 
rerere autoupdate 	rerere autoupdate 
sign commit 	sign commit 
rebasing state dir 	rebasing state dir 
gpgsign state 	gpgsign state 
state path state 	state path state 
name state 	name state 
name state name 	name state name 
state fmt 	state fmt 
state state file 	state state file 
trim key 	trim key 
str state filename 	str state filename 
state state 	state state 
state filename state 	state filename state 
state state 	state state 
ret state hook 	ret state hook 
ret state 	ret state 
invalid line msg 	invalid line msg 
ret obj 	ret obj 
obj header regex 	obj header regex 
regex ret 	regex ret 
paths state 	paths state 
paths keep last 	paths keep last 
state paths 	state paths 
keep stdin mail 	keep stdin mail 
ret keep 	ret keep 
subject printed str 	subject printed str 
state paths 	state paths 
keep series dir 	keep series dir 
series dir 	series dir 
buf patches ret 	buf patches ret 
keep str 	keep str 
timestamp end split 	timestamp end split 
mail setup 	mail setup 
state head state 	state head state 
file head 	file head 
opt state cmdline 	opt state cmdline 
mine state 	mine state 
state mail 	state mail 
msg author name 	msg author name 
author date 	author date 
author email ret 	author email ret 
commit mail 	commit mail 
state commit buffer 	state commit buffer 
ident line 	ident line 
author date msg 	author date msg 
ident len 	ident len 
ident split state 	ident split state 
commit rev 	commit rev 
info state head 	info state head 
rev info 	rev info 
state mail commit 	state mail commit 
commit sha 	commit sha 
state index file 	state index file 
state index 	state index 
file state orig 	file state orig 
status state 	status state 
index path 	index path 
orig rev info 	orig rev info 
diff filter 	diff filter 
str state parent 	str state parent 
commit ptr 	commit ptr 
parents reflog msg 	parents reflog msg 
author state 	author state 
state reply msg 	state reply msg 
pager state 	pager state 
resume argv mail 	resume argv mail 
apply status 	apply status 
skip advice amworkdir 	skip advice amworkdir 
state head 	state head 
remote reset file 	remote reset file 
opts file 	opts file 
opts head remote 	opts head remote 
head remote 	head remote 
index index merge 	index index merge 
state head 	state head 
state abort 	state abort 
safety head state 	safety head state 
curr head 	curr head 
orig head curr 	orig head curr 
head orig 	head orig 
head curr branch 	head curr branch 
opt arg 	opt arg 
unset opt status 	unset opt status 
argc argv 	argc argv 
prefix state binary 	prefix state binary 
keep patch 	keep patch 
format progress usage 	format progress usage 
options paths 	options paths 
stat die errno 	stat die errno 
strchrnul isspace 	strchrnul isspace 
memset xstrdup git 	memset xstrdup git 
config git 	config git 
config argv init 	config argv init 
git config 	git config 
free free 	free free 
free free free 	free free free 
argv clear 	argv clear 
mkpath write file 	mkpath write file 
path write 	path write 
file path write 	file path write 
state text 	state text 
start vfprintf putc 	start vfprintf putc 
end lstat 	end lstat 
isdir lstat path 	isdir lstat path 
isreg lstat 	isreg lstat 
path isreg strbuf 	path isreg strbuf 
reset strbuf 	reset strbuf 
read file path 	read file path 
strbuf trim 	strbuf trim 
die errno path 	die errno path 
strbuf getline 	strbuf getline 
skip prefix 	skip prefix 
skip prefix strbuf 	skip prefix strbuf 
dequote strbuf 	dequote strbuf 
detach strbuf release 	detach strbuf release 
path fopen 	path fopen 
die errno read 	die errno read 
shell fclose 	shell fclose 
read shell fclose 	read shell fclose 
read shell 	read shell 
fclose fgetc fclose 	fclose fgetc fclose 
fclose strbuf 	fclose strbuf 
addstr quote buf 	addstr quote buf 
strbuf addch 	strbuf addch 
strbuf addstr quote 	strbuf addstr quote 
buf strbuf 	buf strbuf 
addch strbuf addstr 	addch strbuf addstr 
quote buf 	quote buf 
strbuf addch write 	strbuf addch write 
state text 	state text 
strbuf release 	strbuf release 
read state file 	read state file 
strbuf release 	strbuf release 
strbuf detach path 	strbuf detach path 
xopen write 	xopen write 
full die errno 	full die errno 
close read 	close read 
state file die 	state file die 
strtol read 	strtol read 
state file die 	state file die 
strtol read 	strtol read 
author script die 	author script die 
read commit 	read commit 
msg read state 	msg read state 
file hashclr 	file hashclr 
sha hex die 	sha hex die 
path read 	path read 
state file strcmp 	state file strcmp 
read state 	read state 
file strcmp 	file strcmp 
read state file 	read state file 
strcmp read 	strcmp read 
state file strcmp 	state file strcmp 
read state 	read state 
file strcmp strcmp 	file strcmp strcmp 
read state 	read state 
file strcmp read 	file strcmp read 
state file 	state file 
strcmp strcmp read 	strcmp strcmp read 
state file 	state file 
argv clear dequote 	argv clear dequote 
argv die 	argv die 
path file exists 	path file exists 
path strbuf 	path strbuf 
release strbuf addstr 	release strbuf addstr 
dir recursively 	dir recursively 
strbuf release run 	strbuf release run 
hook path 	hook path 
free read 	free read 
commit msg die 	commit msg die 
path find 	path find 
hook argv push 	hook argv push 
argv push 	argv push 
xopen path run 	xopen path run 
command close 	command close 
init copy notes 	init copy notes 
rewrite xfopen 	rewrite xfopen 
path strbuf getline 	path strbuf getline 
error sha 	error sha 
hex error error 	hex error error 
sha hex 	sha hex 
error copy note 	error copy note 
rewrite error 	rewrite error 
sha hex sha 	sha hex sha 
hex finish 	hex finish 
copy notes rewrite 	copy notes rewrite 
fclose strbuf 	fclose strbuf 
release fseek 	release fseek 
die errno regcomp 	die errno regcomp 
die strbuf 	die strbuf 
getline regexec regfree 	getline regexec regfree 
strbuf release 	strbuf release 
strcmp directory xfopen 	strcmp directory xfopen 
strbuf getline 	strbuf getline 
starts starts starts 	starts starts starts 
strcmp strbuf 	strcmp strbuf 
reset strbuf getline 	reset strbuf getline 
strbuf reset 	strbuf reset 
strbuf getline starts 	strbuf getline starts 
starts starts 	starts starts 
mail fclose strbuf 	mail fclose strbuf 
release argv 	release argv 
push argv pushf 	push argv pushf 
argv pushf 	argv pushf 
argv push 	argv push 
argv push argv 	argv push argv 
push argv 	push argv 
pushv capture command 	pushv capture command 
strtol strcmp 	strtol strcmp 
fopen error strerror 	fopen error strerror 
mkpath fopen 	mkpath fopen 
error strerror fclose 	error strerror fclose 
fclose error 	fclose error 
strbuf getline str 	strbuf getline str 
isspace skip 	isspace skip 
prefix starts starts 	prefix starts starts 
strbuf reset 	strbuf reset 
strbuf fread fwrite 	strbuf fread fwrite 
strbuf reset 	strbuf reset 
strbuf release error 	strbuf release error 
xstrdup dirname 	xstrdup dirname 
fopen error strerror 	fopen error strerror 
strbuf getline 	strbuf getline 
argv push 	argv push 
mkpath fclose strbuf 	mkpath fclose strbuf 
release free 	release free 
split mail conv 	split mail conv 
argv clear 	argv clear 
strbuf getline skip 	strbuf getline skip 
prefix skip 	prefix skip 
prefix strtoul error 	prefix strtoul error 
skip prefix 	skip prefix 
error strtol error 	error strtol error 
error labs 	error labs 
labs show date 	labs show date 
date mode 	date mode 
starts strbuf reset 	starts strbuf reset 
strbuf fread 	strbuf fread 
fwrite strbuf reset 	fwrite strbuf reset 
strbuf release 	strbuf release 
free free free 	free free free 
free unlink 	free unlink 
path unlink 	path unlink 
path hashclr unlink 	path hashclr unlink 
path sha 	path sha 
write state text 	write state text 
sha hex 	sha hex 
write state text 	write state text 
write state 	write state 
count strbuf reset 	count strbuf reset 
strbuf addf 	strbuf addf 
xcalloc hold locked 	xcalloc hold locked 
index refresh 	index refresh 
cache write locked 	cache write locked 
index die 	index die 
sha diff setup 	sha diff setup 
diff opt 	diff opt 
diff opt diff 	diff opt diff 
cache diffcore 	cache diffcore 
std strbuf addch 	std strbuf addch 
strbuf addstr 	strbuf addstr 
diff flush 	diff flush 
diff opt tst 	diff opt tst 
strbuf addch 	strbuf addch 
strbuf addstr exit 	strbuf addstr exit 
strbuf addf 	strbuf addf 
fmt name getenv 	fmt name getenv 
getenv strcmp 	getenv strcmp 
strstr strchr strbuf 	strstr strchr strbuf 
addstr strbuf 	addstr strbuf 
release strbuf attach 	release strbuf attach 
signoff strbuf 	signoff strbuf 
detach setup mailinfo 	detach setup mailinfo 
commit output 	commit output 
encoding die die 	encoding die die 
fopen die 	fopen die 
fopen path die 	fopen path die 
mailinfo path 	mailinfo path 
path die 	path die 
fclose fclose xfopen 	fclose fclose xfopen 
path strbuf 	path strbuf 
getline skip prefix 	getline skip prefix 
strbuf addch 	strbuf addch 
strbuf addstr skip 	strbuf addstr skip 
prefix strbuf 	prefix strbuf 
addstr skip prefix 	addstr skip prefix 
strbuf addstr 	strbuf addstr 
skip prefix strbuf 	skip prefix strbuf 
addstr fclose 	addstr fclose 
strcmp empty file 	strcmp empty file 
path die 	path die 
user resolve strbuf 	user resolve strbuf 
addstr strbuf 	addstr strbuf 
addbuf strbuf stripspace 	addbuf strbuf stripspace 
signoff strbuf 	signoff strbuf 
detach strbuf detach 	detach strbuf detach 
strbuf detach 	strbuf detach 
strbuf detach 	strbuf detach 
strbuf release strbuf 	strbuf release strbuf 
release strbuf 	release strbuf 
release strbuf release 	release strbuf release 
strbuf release 	strbuf release 
clear mailinfo xfopen 	clear mailinfo xfopen 
strbuf getline 	strbuf getline 
skip prefix sha 	skip prefix sha 
hex strbuf 	hex strbuf 
release fclose logmsg 	release fclose logmsg 
reencode commit 	reencode commit 
output encoding find 	output encoding find 
commit header 	commit header 
split ident line 	split ident line 
strbuf die 	strbuf die 
strbuf strbuf detach 	strbuf strbuf detach 
xstrdup strbuf 	xstrdup strbuf 
strbuf detach xstrdup 	strbuf detach xstrdup 
show ident 	show ident 
date date 	date date 
mode strbuf addstr 	mode strbuf addstr 
strbuf detach 	strbuf detach 
strstr die oid 	strstr die oid 
hex xstrdup 	hex xstrdup 
strlen xfopen path 	strlen xfopen path 
init revisions 	init revisions 
diff opt diff 	diff opt diff 
opt pending 	opt pending 
diff setup done 	diff setup done 
log commit 	log commit 
sha lookup lookup 	sha lookup lookup 
xfopen path 	xfopen path 
init revisions pending 	init revisions pending 
diff setup 	diff setup 
done run diff 	done run diff 
index mail 	index mail 
commit sha die 	commit sha die 
lookup commit 	lookup commit 
die commit 	die commit 
info write commit 	info write commit 
patch hashcpy 	patch hashcpy 
write state text 	write state text 
sha hex 	sha hex 
argv pushf argv 	argv pushf argv 
push argv 	push argv 
pushv argv push 	pushv argv push 
argv push 	argv push 
argv push path 	argv push path 
run command 	run command 
discard cache read 	discard cache read 
cache index 	cache index 
file argv push 	file argv push 
argv pushv 	argv pushv 
argv pushf argv 	argv pushf argv 
push path 	push path 
run command 	run command 
argv pushf sha 	argv pushf sha 
hex linelen 	hex linelen 
argv push argv 	argv push argv 
push argv 	push argv 
push sha hex 	push sha hex 
argv push 	argv push 
argv push sha 	argv push sha 
hex argv 	hex argv 
push sha hex 	push sha hex 
run command 	run command 
discard cache read 	discard cache read 
cache sha 	cache sha 
hashcpy build fake 	hashcpy build fake 
ancestor error 	ancestor error 
discard cache read 	discard cache read 
cache write 	cache write 
index error say 	index error say 
init revisions 	init revisions 
diff opt 	diff opt 
parse pending sha 	parse pending sha 
diff setup 	diff setup 
done run diff 	done run diff 
index run 	index run 
apply error write 	apply error write 
index error 	index error 
say discard cache 	say discard cache 
read cache 	read cache 
run fallback merge 	run fallback merge 
recursive rerere 	recursive rerere 
error run hook 	error run hook 
exit write 	exit write 
cache die sha 	cache die sha 
commit commit 	commit commit 
list insert lookup 	list insert lookup 
commit say 	commit say 
fmt ident setenv 	fmt ident setenv 
commit die 	commit die 
getenv strbuf 	getenv strbuf 
addf linelen update 	addf linelen update 
xfopen path 	xfopen path 
sha sha hex 	sha sha hex 
sha hex 	sha hex 
fclose run hook 	fclose run hook 
strbuf release 	strbuf release 
die path die 	die path die 
path isatty 	path isatty 
die puts puts 	die puts puts 
puts git 	puts git 
prompt launch editor 	prompt launch editor 
path free 	path free 
strbuf detach strbuf 	strbuf detach strbuf 
release git 	release git 
pager prepare pager 	pager prepare pager 
args argv 	args argv 
push path run 	push path run 
command unlink 	command unlink 
path refresh 	path refresh 
write cache index 	write cache index 
changes write 	changes write 
state die strbuf 	state die strbuf 
release path 	release path 
msgnum file exists 	msgnum file exists 
validate resume 	validate resume 
state parse mail 	state parse mail 
rebase parse 	rebase parse 
mail write author 	mail write author 
script write 	script write 
commit msg interactive 	commit msg interactive 
run applypatch 	run applypatch 
msg hook exit 	msg hook exit 
say linelen 	say linelen 
run apply strbuf 	run apply strbuf 
addstr path 	addstr path 
fall back threeway 	fall back threeway 
strbuf release 	strbuf release 
index changes 	index changes 
say msgnum linelen 	say msgnum linelen 
git config 	git config 
path die user 	path die user 
resolve commit 	resolve commit 
next load empty 	next load empty 
file path 	file path 
copy notes rebase 	copy notes rebase 
run post 	run post 
rewrite hook destroy 	rewrite hook destroy 
close packs 	close packs 
run command opt 	run command opt 
validate resume 	validate resume 
state say linelen 	state say linelen 
index changes 	index changes 
die user resolve 	die user resolve 
unmerged cache 	unmerged cache 
die user 	die user 
resolve write index 	resolve write index 
patch interactive 	patch interactive 
rerere commit next 	rerere commit next 
load run 	load run 
parse parse xcalloc 	parse parse xcalloc 
hold locked 	hold locked 
index refresh cache 	index refresh cache 
memset init 	memset init 
desc init desc 	desc init desc 
unpack trees 	unpack trees 
rollback file write 	rollback file write 
locked index 	locked index 
die parse xcalloc 	die parse xcalloc 
hold locked 	hold locked 
index memset init 	index memset init 
desc unpack 	desc unpack 
trees rollback file 	trees rollback file 
write locked 	write locked 
index die 	index die 
parse indirect error 	parse indirect error 
sha hex 	sha hex 
parse indirect error 	parse indirect error 
sha hex 	sha hex 
read cache unmerged 	read cache unmerged 
fast forward 	fast forward 
write cache parse 	write cache parse 
indirect error 	indirect error 
sha hex fast 	sha hex fast 
forward merge 	forward merge 
branch state rerere 	branch state rerere 
clear list 	clear list 
clear rerere clear 	clear rerere clear 
sha hashcpy 	sha hashcpy 
clean index die 	clean index die 
next load 	next load 
run file exists 	run file exists 
path read 	path read 
state file 	state file 
sha hex die 	sha hex die 
path hashclr 	path hashclr 
sha hashclr hashcmp 	sha hashclr hashcmp 
error safe 	error safe 
abort destroy rerere 	abort destroy rerere 
clear resolve 	clear resolve 
refdup sha hashcpy 	refdup sha hashcpy 
sha hashcpy 	sha hashcpy 
clean index update 	clean index update 
free destroy 	free destroy 
strcmp strcmp strcmp 	strcmp strcmp strcmp 
strcmp error 	strcmp error 
git gpg config 	git gpg config 
git config 	git config 
git config state 	git config state 
init git 	init git 
path progress load 	path progress load 
parse options 	parse options 
git committer 	git committer 
info read index 	info read index 
preload die 	preload die 
isatty die append 	isatty die append 
signoff file 	signoff file 
exists destroy state 	exists destroy state 
release die 	release die 
die absolute path 	die absolute path 
argv push 	argv push 
argv push mkpath 	argv push mkpath 
setup argv 	setup argv 
clear run run 	clear run run 
resolve skip 	resolve skip 
abort die state 	abort die state 
release builtin 	release builtin 
git git junio 	git git junio 
hamano returns 	hamano returns 
file empty 	file empty 
exist otherwise returns 	exist otherwise returns 
length first 	length first 
line msg returns 	line msg returns 
str consists 	str consists 
whitespace otherwise pass 	whitespace otherwise pass 
flag git 	flag git 
mailinfo pass flag 	mailinfo pass flag 
git mailinfo 	git mailinfo 
pass scissors git 	pass scissors git 
mailinfo pass 	mailinfo pass 
scissors git mailinfo 	scissors git mailinfo 
signoff command 	signoff command 
line state directory 	line state directory 
path current 	path current 
last patch numbers 	last patch numbers 
indexed commit 	indexed commit 
metadata message rebasing 	metadata message rebasing 
records original 	records original 
commit patch 	commit patch 
came number digits 	came number digits 
patch filename 	patch filename 
various operating modes 	various operating modes 
command line 	command line 
options signoff type 	options signoff type 
keep type 	keep type 
scissors type initializes 	scissors type initializes 
state values 	state values 
state directory dir 	state directory dir 
releases memory 	releases memory 
allocated state returns 	allocated state returns 
path relative 	path relative 
state directory convenience 	state directory convenience 
call write 	call write 
file state quiet 	file state quiet 
calls fmt 	calls fmt 
appends newline end 	appends newline end 
returns session 	returns session 
progress otherwise 	progress otherwise 
reads contents file 	reads contents file 
state directory 	state directory 
returns number bytes 	returns number bytes 
read success 	read success 
file exist trim 	file exist trim 
trailing whitespace 	trailing whitespace 
removed reads key 	removed reads key 
shell variable 	shell variable 
assignment returning newly 	assignment returning newly 
allocated must 	allocated must 
quoted key must 	quoted key must 
match key 	match key 
returns failure used 	returns failure used 
read author 	read author 
script read git 	script read git 
author variables 	author variables 
author script reads 	author script reads 
parses state 	parses state 
directory author 	directory author 
script file sets 	script file sets 
state author 	state author 
name state author 	name state author 
email state 	email state 
author date accordingly 	author date accordingly 
returns success 	returns success 
file could parsed 	file could parsed 
author script 	author script 
format git author 	format git author 
name author 	name author 
name git author 	name git author 
email author 	email author 
email git author 	email git author 
date author 	date author 
date author name 	date author name 
author email 	author email 
author date 	author date 
quoted strict parsing 	quoted strict parsing 
file meant 	file meant 
eval old git 	eval old git 
script thus 	script thus 
file differs function 	file differs function 
expects better 	expects better 
bail something user 	bail something user 
expect saves 	expect saves 
state author name 	state author name 
state author 	state author 
email state author 	email state author 
date state 	date state 
directory author script 	directory author script 
file reads 	file reads 
commit message state 	commit message state 
directory commit 	directory commit 
file setting state 	file setting state 
msg contents 	msg contents 
state msg 	state msg 
len length contents 	len length contents 
bytes returns 	bytes returns 
success file exist 	success file exist 
saves state 	saves state 
msg state directory 	msg state directory 
commit file 	commit file 
loads state disk 	loads state disk 
removes state 	removes state 
directory forcefully terminating 	directory forcefully terminating 
current session 	current session 
runs applypatch msg 	runs applypatch msg 
hook returns 	hook returns 
exit code runs 	exit code runs 
post rewrite 	post rewrite 
hook returns exit 	hook returns exit 
code reads 	code reads 
state directory rewritten 	state directory rewritten 
file copies 	file copies 
notes old 	notes old 
commits listed file 	commits listed file 
rewritten commits 	rewritten commits 
returns success failure 	returns success failure 
determines file 	determines file 
looks like piece 	looks like piece 
rfc mail 	rfc mail 
grabbing non indented 	grabbing non indented 
lines checking 	lines checking 
look like begin 	look like begin 
valid header 	valid header 
field names returns 	field names returns 
file looks 	file looks 
like piece mail 	like piece mail 
otherwise end 	otherwise end 
header ignore indented 	header ignore indented 
folded lines 	folded lines 
header matches header 	header matches header 
regex attempts 	regex attempts 
detect patch 	detect patch 
format patches contained 	format patches contained 
paths returning 	paths returning 
patch format returns 	patch format returns 
patch format 	patch format 
unknown detection fails 	unknown detection fails 
mbox format 	mbox format 
input stdin directories 	input stdin directories 
otherwise check 	otherwise check 
first lines first 	first lines first 
patch starting 	patch starting 
first non blank 	first non blank 
line detect 	line detect 
format second line 	format second line 
empty third 	empty third 
author date entry 	author date entry 
likely git 	likely git 
patch splits individual 	patch splits individual 
email patches 	email patches 
paths path 	paths path 
either mbox file 	either mbox file 
maildir returns 	maildir returns 
success failure callback 	success failure callback 
signature split 	signature split 
mail conv foreign 	mail conv foreign 
patch read 	patch read 
converted patch rfc 	converted patch rfc 
mail format 	mail format 
written success failure 	written success failure 
calls file 	calls file 
paths convert foreign 	paths convert foreign 
patch rfc 	patch rfc 
mail format suitable 	mail format suitable 
parsing git 	parsing git 
mailinfo returns success 	mailinfo returns success 
failure split 	failure split 
mail conv 	mail conv 
callback converts git 	callback converts git 
patch rfc 	patch rfc 
message suitable parsing 	message suitable parsing 
